DATE,price_per_kg,day_of_week,month,week_of_year,day_of_month,season,rolling_mean_3,rolling_mean_5,rolling_mean_7,lag_1,lag_3,lag_5,rolling_std_3,rolling_std_5,rolling_std_7
2010-04-14,3020.0,2.0,4.0,15,14.0,1.0,3026.6666666666665,3048.0,3057.1428571428573,3020.0,3080.0,3080.0,11.547005383792147,30.331501776206203,29.277002188433045
2010-04-15,3070.0,3.0,4.0,15,15.0,1.0,3036.6666666666665,3046.0,3055.714285714286,3020.0,3040.0,3080.0,28.86751345948118,27.92848008753788,28.1999662275819
2010-04-16,3110.0,4.0,4.0,15,16.0,1.0,3066.6666666666665,3052.0,3060.0,3070.0,3020.0,3080.0,45.09249752822895,38.34057902536163,34.15650255317879
2010-04-17,3110.0,5.0,4.0,15,17.0,1.0,3096.6666666666665,3066.0,3064.285714285714,3110.0,3020.0,3040.0,23.094010767585193,45.05552130427524,38.66830866790938
2010-04-18,3110.0,6.0,4.0,15,18.0,1.0,3110.0,3084.0,3068.5714285714284,3110.0,3070.0,3020.0,0.0,39.74921382870358,42.201331506849165
2010-04-19,3150.0,0.0,4.0,16,19.0,1.0,3123.3333333333335,3110.0,3084.285714285714,3110.0,3110.0,3020.0,23.094010767585193,28.284271247461902,49.617585208303744
2010-04-20,3150.0,1.0,4.0,16,20.0,1.0,3136.6666666666665,3126.0,3102.8571428571427,3150.0,3110.0,3070.0,23.094010767585193,21.908902300206645,45.72172558504993
2010-04-21,3050.0,2.0,4.0,16,21.0,1.0,3116.6666666666665,3114.0,3107.1428571428573,3150.0,3110.0,3110.0,57.7350269189626,40.98780306383839,37.28908942941062
2010-04-22,3050.0,3.0,4.0,16,22.0,1.0,3083.3333333333335,3102.0,3104.285714285714,3050.0,3150.0,3110.0,57.7350269189626,50.19960159204453,41.173269183251726
2010-04-23,3080.0,4.0,4.0,16,23.0,1.0,3060.0,3096.0,3100.0,3050.0,3150.0,3110.0,17.320508075689077,50.79370039680118,42.031734043043066
2010-04-24,3080.0,5.0,4.0,16,24.0,1.0,3070.0,3082.0,3095.714285714286,3080.0,3050.0,3150.0,17.320508075689077,40.8656334834051,42.370250120061385
2010-04-25,3080.0,6.0,4.0,16,25.0,1.0,3080.0,3068.0,3091.4285714285716,3080.0,3050.0,3150.0,0.0,16.431676725154983,42.201331506847936
